incident_id,control_id,barrier_role_match_text,barrier_family,barrier_type,side,line_of_defense,barrier_status,barrier_failed,barrier_failed_human,human_contribution_value,pif_competence,pif_fatigue,pif_communication,pif_situational_awareness,pif_procedures,pif_workload,pif_time_pressure,pif_tools_equipment,pif_safety_culture,pif_management_of_change,pif_supervision,pif_training,supporting_text,confidence,incident_summary
ab-specialty-silicones-llc,C-001,"Barrier: Double Initial Procedure Program
Role: Prevent wrong material addition to batch
LOD Basis: Procedural control requiring two employees to verify chemical identity and initial batch ticket before charging",procedures,administrative,prevention,1st,failed,True,True,high,True,False,True,True,True,False,False,True,True,True,True,True,"[""AB Specialty developed a double initial procedure practice in 2014 in an effort to prevent employees from charging the wrong materials to batch processes"", ""The occurrence of the May 3 incident indicates that AB Specialty's double initial procedure program did not prevent a wrong material from being added to the tank"", ""Operator 1 likely misidentified the 10% KOH drum(s) that remained in the emulsions area after the first batch for XL 10 and added 10% KOH into the tank""]",high,"On May 3, 2019, at AB Specialty Silicones in Waukegan, Illinois, an operator pumped an incorrect chemical (10% KOH) into a batch tank containing XL 10 and TD 6/12 Blend. The incompatible chemicals were stored in nearly identical 55-gallon blue drums, differing only in small labels. The reaction between XL 10 (containing silicon hydride bonds) and aqueous KOH produced hydrogen gas, which released into the production building. The hydrogen gas ignited, causing a massive explosion and fire that fatally injured four employees (Byron Biehn, Jeffrey Cummings, Daniel Nicklas, Allen Stevens), destroyed the production building, and forced operational disruptions."
ab-specialty-silicones-llc,C-002,"Barrier: Chemical Drum Labeling and Identification
Role: Enable operator identification of correct chemical
LOD Basis: Reliance on small text labels affixed to drum sides to differentiate incompatible chemicals",other_admin,administrative,prevention,1st,failed,True,True,high,True,False,True,True,True,False,False,True,True,True,True,True,"[""AB Specialty relied on its operators to confirm drum content based on the label affixed to the side of the drum, which used small text for the chemical name"", ""The incompatible chemicals that were mixed were stored in similar 55-gallon blue plastic drums. The similar appearance of the drums likely contributed to the operator adding the incorrect chemical to the tank"", ""Once these bung caps were removed, the drums looked nearly identical""]",high,"On May 3, 2019, at AB Specialty Silicones in Waukegan, Illinois, an operator pumped an incorrect chemical (10% KOH) into a batch tank containing XL 10 and TD 6/12 Blend. The incompatible chemicals were stored in nearly identical 55-gallon blue drums, differing only in small labels. The reaction between XL 10 (containing silicon hydride bonds) and aqueous KOH produced hydrogen gas, which released into the production building. The hydrogen gas ignited, causing a massive explosion and fire that fatally injured four employees (Byron Biehn, Jeffrey Cummings, Daniel Nicklas, Allen Stevens), destroyed the production building, and forced operational disruptions."
ab-specialty-silicones-llc,C-003,"Barrier: Segregation of Incompatible Chemical Drums
Role: Prevent co-location of incompatible chemicals in work area
LOD Basis: Written procedure requiring segregation of incompatible chemicals and removal of containers after use",other_admin,administrative,prevention,1st,not_installed,False,False,unknown,True,False,True,True,True,False,False,True,True,True,True,True,"[""AB Specialty did not have a written procedure requiring employees to segregate the 10% KOH and XL 10 drums in the emulsions area or to remove ingredient containers from the emulsions area after use"", ""The CSB determined there were likely also two or three drums containing 10% KOH in the production area, possibly leftover from the previous EM 652 batch operation. As a result, there were up to eleven nearly identical drums containing incompatible chemicals (XL 10 and 10% KOH) in the immediate process area at the start of the second batch""]",high,"On May 3, 2019, at AB Specialty Silicones in Waukegan, Illinois, an operator pumped an incorrect chemical (10% KOH) into a batch tank containing XL 10 and TD 6/12 Blend. The incompatible chemicals were stored in nearly identical 55-gallon blue drums, differing only in small labels. The reaction between XL 10 (containing silicon hydride bonds) and aqueous KOH produced hydrogen gas, which released into the production building. The hydrogen gas ignited, causing a massive explosion and fire that fatally injured four employees (Byron Biehn, Jeffrey Cummings, Daniel Nicklas, Allen Stevens), destroyed the production building, and forced operational disruptions."
ab-specialty-silicones-llc,C-004,"Barrier: Hazard Analysis Program (Technical Service Requests)
Role: Identify hazards and establish safeguards for batch processes
LOD Basis: TSR process intended to assess safety-related questions including product hazards and engineering controls",hazard_analysis_prework_checks,administrative,prevention,1st,failed,True,False,unknown,True,False,True,True,True,False,False,True,True,True,True,True,"[""AB Specialty assessed proposed product manufacturing operations through what it called technical service requests (TSRs)"", ""Spreadsheets provided to the CSB from AB Specialty indicate the EM 652 product underwent the TSR process in October 2014 and June 2018. No hazards or safeguards were documented on either TSR spreadsheet"", ""AB Specialty's TSR process did not and was not intended to assess the hazards of performing a process operation or establish safeguards to reduce risk""]",high,"On May 3, 2019, at AB Specialty Silicones in Waukegan, Illinois, an operator pumped an incorrect chemical (10% KOH) into a batch tank containing XL 10 and TD 6/12 Blend. The incompatible chemicals were stored in nearly identical 55-gallon blue drums, differing only in small labels. The reaction between XL 10 (containing silicon hydride bonds) and aqueous KOH produced hydrogen gas, which released into the production building. The hydrogen gas ignited, causing a massive explosion and fire that fatally injured four employees (Byron Biehn, Jeffrey Cummings, Daniel Nicklas, Allen Stevens), destroyed the production building, and forced operational disruptions."
ab-specialty-silicones-llc,C-005,"Barrier: Batch Tank Vent Pipe Design
Role: Direct gases produced during reaction to safe location outside building
LOD Basis: Engineering design feature to prevent gas release into occupied work area",pressure_relief_blowdown_flare_disposal,engineering,mitigation,2nd,not_installed,False,False,unknown,True,False,True,True,True,False,False,True,True,True,True,True,"[""As a result of the tanks used in the EM 652 batch process having an open hatch-type lid and no vent pipe to direct gases to a safe location, the hydrogen gas produced during the incident released directly into the production building, where workers were located"", ""While some of the tanks used for the emulsion processes were equipped with vent pipes to divert any produced gases outside the building or to a process ventilation system, most of the tanks were not designed with this feature, and the tank in which the reaction occurred on the night of the incident was not equipped with a vent pipe""]",high,"On May 3, 2019, at AB Specialty Silicones in Waukegan, Illinois, an operator pumped an incorrect chemical (10% KOH) into a batch tank containing XL 10 and TD 6/12 Blend. The incompatible chemicals were stored in nearly identical 55-gallon blue drums, differing only in small labels. The reaction between XL 10 (containing silicon hydride bonds) and aqueous KOH produced hydrogen gas, which released into the production building. The hydrogen gas ignited, causing a massive explosion and fire that fatally injured four employees (Byron Biehn, Jeffrey Cummings, Daniel Nicklas, Allen Stevens), destroyed the production building, and forced operational disruptions."
ab-specialty-silicones-llc,C-006,"Barrier: Hydrogen Gas Detection and Alarm System
Role: Detect hydrogen gas release and alert workers to evacuate
LOD Basis: Fixed gas detection system with alarm to warn of hazardous atmosphere",gas_detection_atmospheric_monitoring,engineering,mitigation,2nd,not_installed,False,False,unknown,True,False,True,True,True,False,False,True,True,True,True,True,"[""The AB Specialty production building did not have a hydrogen gas or flammable gas detection and alarm system to warn employees of a hazardous atmosphere"", ""The lack of a system to detect hydrogen gas and automatically activate an alarm contributed to personnel remaining inside the production building between the start of the hydrogen release and the time of ignition"", ""AB Specialty employees told the CSB that the facility had installed two fixed lower explosive limit (LEL) gas detector systems in the Low Bay around October 2018 for a trial evaluation"", ""Around March 2019, during a scheduled maintenance activity, AB Specialty employees found that the two gas detectors had failed; they had unresponsive sensors""]",high,"On May 3, 2019, at AB Specialty Silicones in Waukegan, Illinois, an operator pumped an incorrect chemical (10% KOH) into a batch tank containing XL 10 and TD 6/12 Blend. The incompatible chemicals were stored in nearly identical 55-gallon blue drums, differing only in small labels. The reaction between XL 10 (containing silicon hydride bonds) and aqueous KOH produced hydrogen gas, which released into the production building. The hydrogen gas ignited, causing a massive explosion and fire that fatally injured four employees (Byron Biehn, Jeffrey Cummings, Daniel Nicklas, Allen Stevens), destroyed the production building, and forced operational disruptions."
ab-specialty-silicones-llc,C-007,"Barrier: Batch Ticket Warning of XL 10 Reactivity
Role: Inform operators of reactivity hazard with acids and bases
LOD Basis: Written warning on batch ticket documenting XL 10 reactivity with acids and bases and hydrogen generation",other_admin,administrative,prevention,1st,active,False,False,medium,True,False,True,True,True,False,False,True,True,True,True,True,"[""The batch ticket for the EM 652 batch process warned that XL 10 was reactive with acids and bases and could generate hydrogen"", ""Operators who worked with the EM 652 batch process were also made aware of the XL 10 reactivity with acids and bases by a warning note contained in the EM 652 batch ticket""]",high,"On May 3, 2019, at AB Specialty Silicones in Waukegan, Illinois, an operator pumped an incorrect chemical (10% KOH) into a batch tank containing XL 10 and TD 6/12 Blend. The incompatible chemicals were stored in nearly identical 55-gallon blue drums, differing only in small labels. The reaction between XL 10 (containing silicon hydride bonds) and aqueous KOH produced hydrogen gas, which released into the production building. The hydrogen gas ignited, causing a massive explosion and fire that fatally injured four employees (Byron Biehn, Jeffrey Cummings, Daniel Nicklas, Allen Stevens), destroyed the production building, and forced operational disruptions."
ab-specialty-silicones-llc,C-008,"Barrier: Emergency Preparedness Training and Drills
Role: Prepare workers to recognize and respond to process emergencies
LOD Basis: Annual emergency training and drills to prepare personnel for process upsets",emergency_preparedness_planning_training_drills,administrative,mitigation,2nd,degraded,True,True,high,True,False,True,True,True,False,False,True,True,True,True,True,"[""AB Specialty also provided employees with training on what to do during process emergencies, performing yearly emergency drills and critiques with their personnel"", ""During the incident, workers recognized that a process upset had occurred when the tank contents foamed, overflowed the tank, and a fog formed. However, despite recognizing the process upset, the workers did not recognize the immediate hydrogen hazard created by the upset"", ""Hydrogen is a colorless and odorless gas indistinguishable from air without the use of additional technology, such as gas detectors. Without gas detectors and alarms alerting of the hazardous conditions, or effective training, the workers did not realize the necessity to evacuate""]",high,"On May 3, 2019, at AB Specialty Silicones in Waukegan, Illinois, an operator pumped an incorrect chemical (10% KOH) into a batch tank containing XL 10 and TD 6/12 Blend. The incompatible chemicals were stored in nearly identical 55-gallon blue drums, differing only in small labels. The reaction between XL 10 (containing silicon hydride bonds) and aqueous KOH produced hydrogen gas, which released into the production building. The hydrogen gas ignited, causing a massive explosion and fire that fatally injured four employees (Byron Biehn, Jeffrey Cummings, Daniel Nicklas, Allen Stevens), destroyed the production building, and forced operational disruptions."
ab-specialty-silicones-llc,C-009,"Barrier: Ventilation System Operation
Role: Remove hydrogen gas from production building
LOD Basis: Mechanical ventilation system with exhaust fans to remove hazardous gases",pressure_relief_blowdown_flare_disposal,engineering,mitigation,2nd,degraded,True,True,high,True,False,True,True,True,False,False,True,True,True,True,True,"[""The ventilation system, including an air mover\u2014designed to introduce outside air to the building and which was positioned near the location where the batch operation was being performed\u2014may have helped distribute the hydrogen in the production building and mix it with air, creating a large and explosive gas cloud"", ""Shift Supervisor 1 directed workers to take action to ventilate the hazy vapor from the building. He asked Operator 2 to open a garage door near the locker room. Shift Supervisor 1 also told Operator 3 to go to the maintenance area and turn on the switch for the fans"", ""The High Bay end exhaust fans did not run continuously and had to be manually activated by a switch located in the maintenance area""]",medium,"On May 3, 2019, at AB Specialty Silicones in Waukegan, Illinois, an operator pumped an incorrect chemical (10% KOH) into a batch tank containing XL 10 and TD 6/12 Blend. The incompatible chemicals were stored in nearly identical 55-gallon blue drums, differing only in small labels. The reaction between XL 10 (containing silicon hydride bonds) and aqueous KOH produced hydrogen gas, which released into the production building. The hydrogen gas ignited, causing a massive explosion and fire that fatally injured four employees (Byron Biehn, Jeffrey Cummings, Daniel Nicklas, Allen Stevens), destroyed the production building, and forced operational disruptions."
ab-specialty-silicones-llc,C-010,"Barrier: Process Safety Management System
Role: Establish comprehensive safety management framework for reactive chemical processes
LOD Basis: Formal safety management system addressing process safety elements per industry guidance",other_admin,administrative,prevention,1st,not_installed,False,False,unknown,True,False,True,True,True,False,False,True,True,True,True,True,"[""AB Specialty did not have a safety management system that addressed process safety in place at the time of the incident"", ""Industry best practice publications provide guidance on establishing process safety management systems for facilities with known or potential reactive chemical hazards""]",high,"On May 3, 2019, at AB Specialty Silicones in Waukegan, Illinois, an operator pumped an incorrect chemical (10% KOH) into a batch tank containing XL 10 and TD 6/12 Blend. The incompatible chemicals were stored in nearly identical 55-gallon blue drums, differing only in small labels. The reaction between XL 10 (containing silicon hydride bonds) and aqueous KOH produced hydrogen gas, which released into the production building. The hydrogen gas ignited, causing a massive explosion and fire that fatally injured four employees (Byron Biehn, Jeffrey Cummings, Daniel Nicklas, Allen Stevens), destroyed the production building, and forced operational disruptions."
